year_month,year,month,avgTa,maxTa,minTa,sumRn,avgWs,avgRhm,sumSsHr,avgPs
2019-06,2019,6,22.5,32.8,14.1,74.0,1.7,61.0,235.1,1007.0
2019-07,2019,7,25.9,36.1,19.3,194.4,1.8,69.0,150.1,1005.9
2019-08,2019,8,27.2,36.8,18.5,190.5,1.6,69.0,239.3,1006.6
2019-09,2019,9,22.6,30.5,13.6,139.8,2.2,65.0,168.9,1014.6
2019-10,2019,10,16.4,28.2,4.7,55.5,2.1,62.0,236.5,1018.9
2019-11,2019,11,7.6,22.1,-4.6,78.8,2.2,56.0,203.2,1022.7
2019-12,2019,12,1.4,12.9,-10.9,22.6,2.1,58.0,164.2,1025.8
2020-01,2020,1,1.6,11.9,-6.5,60.5,2.1,56.0,177.9,1023.6
2020-02,2020,2,2.5,15.6,-11.8,53.1,2.3,58.0,185.0,1024.8
2020-03,2020,3,7.7,20.6,-2.8,16.3,2.5,46.0,262.9,1017.6
2020-04,2020,4,11.1,23.8,1.9,16.9,3.0,50.0,283.3,1017.0
2020-05,2020,5,18.0,30.0,9.2,112.4,2.4,67.0,177.9,1010.1
2020-06,2020,6,23.9,35.4,14.8,139.6,2.3,68.0,206.1,1005.9
2020-07,2020,7,24.1,32.9,17.2,270.4,2.4,77.0,119.4,1006.7
2020-08,2020,8,26.5,34.5,21.5,675.7,2.3,85.0,74.7,1008.3
2020-09,2020,9,21.4,29.5,13.6,181.5,2.5,71.0,174.3,1011.8
2020-10,2020,10,14.3,23.6,3.2,-,2.1,61.0,227.1,1020.7
2020-11,2020,11,8.0,20.0,-3.6,120.1,2.2,64.0,171.5,1025.1
2020-12,2020,12,-0.3,11.4,-12.9,4.6,2.2,58.0,203.6,1026.8
2021-01,2021,1,-2.4,13.9,-18.6,18.9,2.5,58.0,-,1024.9
2021-02,2021,2,2.7,17.4,-10.6,7.1,2.6,56.0,181.0,1021.5
2021-03,2021,3,9.0,22.9,-1.2,110.9,2.4,63.0,213.0,1019.7
2021-04,2021,4,14.2,28.2,3.1,124.1,2.6,54.0,208.6,1018.1
2021-05,2021,5,17.1,30.8,7.3,183.1,2.4,68.0,203.7,1008.9
2021-06,2021,6,22.8,31.6,13.3,104.6,2.2,73.0,185.5,1007.5
2021-07,2021,7,28.1,36.5,19.6,168.3,2.0,71.0,195.2,1007.7
2021-08,2021,8,25.9,33.7,18.1,211.2,2.1,74.0,127.3,1008.2
2021-09,2021,9,22.6,30.3,16.0,131.0,2.3,71.0,182.0,1013.3
2021-10,2021,10,15.6,28.8,1.3,57.0,2.1,70.0,168.4,1021.2
2021-11,2021,11,8.2,21.3,-3.7,62.4,2.1,68.0,163.6,1019.6
2021-12,2021,12,0.6,13.3,-15.5,7.9,2.3,62.0,185.4,1025.2
